y_true,y_pred
172459816.5,152340940
144390187.2,142192690
143921009.8,141879650
123603015.7,139421630
122192613.2,131214800
74748953.62,113149070
124892393.6,134964700
124574235.6,141658600
86213460.1,139742700
113313424.1,139789490
122375919.1,173258480
216987803.2,270041760
296906409.7,298139070
488252681.6,505342300
452738923.6,486235970
447537680.9,498700300
469602349.1,529388350
477189136,528061730
492014354.1,550267100
493029384.9,555706000
508857158.9,568903100
508280945.5,577528960
369566031.1,428881150
243303009.9,288195900
253143672.9,278958620
237350079.4,267097700
231301031.9,252229340
111442014.7,170954140
116804949.8,168784690
104462634,150454770
106125349.7,146397780
73502963.78,137978140
89227761.8,140221840
79021455.21,138522200
91840693.89,113831064
210633625.7,252200340
278772894.7,283145180
445508089.4,471685730
416356727.7,452702620
425381114.2,464571740
451181070,494809300
452416892.1,502428200
469797757.9,523257540
473159570.4,523562720
477601200.3,532054560
476353488.4,545038660
350834853.5,405977470
226918563.4,267462720
238701299.4,251643540
224096820,241754670
221169085.4,235314700
100496146.8,150349400
114838768.7,140555800
87225361.12,118587460
73502963.78,113118090
83986378.36,103817590
80212633,107090984
76561357.74,94755304
82190667.82,90036070
202862230.3,236218860
274795478.8,276873820
413191943.3,454891460
394585517.6,441639870
410311505.5,450605730
436877155.1,473861760
446261291.5,485550140
465079054.3,510662980
465849625.6,513071900
489585167.5,531292500
523572318.4,558217300
383261462.6,426784420
240554071.6,286512300
238736806.7,255724000
223393272.3,242647470
217961494.7,237265090
105691068,158232140
114398803.8,146097020
84571539.97,133615944
88077248.9,123666200
73502963.78,111335050
87338152.12,116825080
73502963.78,112323280
82190667.82,94181990
226516624.6,236440460
290218858.7,276832300
447882687.2,459060060
429772712.2,450154780
446408877.7,473104000
480082430.8,512863400
496977067.1,515132320
511291528.5,535473250
509164583,545133200
532336629.8,561804800
554773169.5,577497000
416714322,441214500
263190581.7,300819140
265041173.7,267486740
245571135.6,252316450
239791766,249666180
129917993.9,164134480
117779130.1,166055170
110820436.9,153464660
99861078.85,151308100
85707864.95,130944340
111870008.5,139424930
87268015.63,131616440
106997453,114721060
222730331.4,247765300
286979894.7,284752200
470730611.9,482893660
444456632,484666020
450901765.1,499817730
480168547.4,521789820
498773381.7,520225730
518220532.1,547190700
518833335.4,552857800
538972353.2,565558600
555628893.4,579511200
413193243,446392320
254778915.2,306790200
260546667.3,267900510
239409998.2,253713500
231159966.7,246729340
129134565.8,162651740
116999236.2,156166850
103918047.7,145031490
67883991.74,104738550
79762111.39,108041030
68775974.96,113637710
73714953.28,103972460
62009312.35,81322360
225508404.9,249114300
236911787.5,245214380
257050611.8,286211260
261414207,301715620
269795154,313598530
297264536.5,334160770
