index,y_true,y_pred
0,454592339.9338448,512883516.090874
1,340875151.4008483,360900447.62476933
2,332729459.13651764,354567545.5163434
3,343491368.765148,342781355.85771346
4,352250678.2136467,340403102.8614064
5,105093155.9693533,164068795.1088892
6,97239471.52577063,125903694.79586819
7,78099972.9614355,120157952.30469808
8,66606321.52290234,99645134.10226098
9,66606321.52290234,92044938.54579231
10,66606321.52290234,79688619.16024655
11,66606321.52290234,69199250.7383579
12,66606321.52290234,82005991.27818969
13,305441674.62872666,338123413.19027793
14,324727937.30944794,323740183.35677606
15,364981957.73934394,380289208.699066
16,374622837.80728424,385766078.3728291
17,368241212.6270253,380695779.0272553
18,367358110.268061,396042540.957673
19,310975663.428804,354253674.74394006
20,303371138.91915584,351847293.25082684
21,302595903.07122135,358633809.56590235
22,306494579.41261214,377181658.4109659
23,317445045.3678975,389729204.60620123
24,300889226.36601853,292680285.9551085
25,208002577.34733158,250643955.42665154
26,168234069.32068345,224033761.50819814
27,154401154.45565453,198776873.51546013
28,155885794.00967297,165172308.17499775
29,76923795.52290235,155358629.02953193
30,76923795.52290235,115487180.17042688
31,66606321.52290234,109593248.05728802
32,66606321.52290234,101187111.95219728
33,66606321.52290234,87875980.56500283
34,66606321.52290234,73361022.4160459
35,66606321.52290234,64535184.679477274
36,66606321.52290234,57857908.18150094
37,68754908.27317692,46392014.310816884
38,162888144.6778371,109540869.73976284
39,213745998.96178555,220414660.16969323
40,166484125.15442878,234395335.21272373
41,194636585.84923545,243130785.85333958
42,176356297.07919657,235592285.22477332
43,215734465.20021874,193975708.12677222
44,182509448.9964353,189767605.64977363
45,229714658.5063699,191422076.8906688
46,199197283.13259774,210906642.9903853
47,255602593.4225574,212590160.9188106
48,200565156.96633852,216116225.48291406
49,219590011.9987421,198057330.39305013
50,168440455.50097603,204311353.7613486
51,182363543.72331387,173879064.3862009
52,121480684.91743767,174129577.8615045
53,106106488.82695147,86051943.76175576
54,76923795.52290235,87604876.79247084
55,66606321.52290234,109608073.06468743
56,108784155.8712381,127074180.07811853
57,78099972.9614355,118988854.08639568
58,78099972.9614355,94511508.38923398
59,78099972.9614355,79492655.0760206
60,86787676.9919473,153064028.22000194
61,289329175.8218765,352945928.9903067
62,359632172.4970131,451490453.0491412
63,569364567.1219074,639991355.9165219
64,546118642.1803542,604291749.3554235
65,568924790.4820141,561199363.5722275
66,589904701.4280031,595422169.2176149
67,616521105.5387708,645165656.1358851
68,619387994.1421698,663669063.2970614
69,611472196.7372943,624173913.8433521
70,640937771.0583116,628880172.7772119
71,677446091.6309884,668706128.029748
