VariableName,Gas:Facility,Electricity:Facility
KeyValue,,
0,51950433.85773857,863614428.913123
1,53836740.36037686,862213977.0950032
2,66338982.00838299,863631239.8663572
3,68549237.36812584,862231200.1113414
4,84869022.27488789,907653176.3002009
5,98484772.66898,994263896.9667628
6,106742585.64444377,1171680988.9642754
7,112721594.36947192,1135259914.0945861
8,92358590.0232994,1075121499.9906902
9,84234635.67369731,941711413.3459208
10,82779657.3312534,767113308.5176414
11,89374803.82291041,765714850.4289069
12,83619180.38158923,767119698.1676604
13,97863810.78738089,765732450.2637157
14,111938185.1937607,767147868.8975121
15,122063776.33029924,765767745.1261957
16,142504174.58934483,1066226587.1736904
17,171584994.61162937,1263979737.949095
18,381938580.618175,1321632864.6351848
19,406228352.537713,1223838378.7104456
20,520155152.5077872,1242156367.4541507
21,514617892.5019809,1138744621.1316996
22,627983335.5308661,1066280285.784239
23,613168966.1692271,962871245.3071473
24,673426788.9775953,1113767811.9318204
25,631941178.0611191,1098323387.262183
26,732378819.3618745,1113843141.4100266
27,695325230.3485415,1098402589.2470179
28,764479866.0661861,1194827846.4281762
29,717210930.4579148,1320157216.0972934
30,6153352796.624131,1558062883.9933574
31,5922719333.982157,1875702648.1909633
32,3764514258.224684,3780511126.169848
33,3327283433.8771143,3647282057.056066
34,2910245562.5656996,3470483959.3663287
35,2653303737.0512137,3470021587.485307
36,2861209294.9806995,3290863791.130789
37,2488409878.7441607,3469741011.339295
38,2410549557.182623,3469628572.7672215
39,2438817713.533917,3469661555.2586064
40,2491920101.1077166,3768776960.751502
41,2604895412.4001684,3424225170.47727
42,2907306123.753632,2707016175.96421
43,2968688823.544844,2619134280.8847113
44,3528991771.0191426,2081788797.7827249
45,3638657415.403858,1994049344.7340088
46,7886613.033970813,1257684974.1970274
47,7886202.540360825,1079971847.0272162
48,23317704.33933307,1037384884.7157199
49,46283390.37878276,1043036066.9663519
50,51665848.10971899,1041640848.5226357
51,67702874.0456693,1043063520.5784855
52,84621640.24453336,1085673214.9039314
53,95551019.14180589,1264807446.350354
54,4503916302.51997,1548813230.77694
55,5027623405.795013,1871111889.467961
56,3367717433.353199,3779600929.5921917
57,2890140397.2395253,3646575577.4378433
58,2443306784.084177,3469726999.587441
59,2020050261.7284565,3469003087.8081894
60,1807344631.3757546,3289204521.934571
61,1341485770.7475138,3467979779.2964544
62,1119142992.5897615,3467687206.3683667
63,1089224365.83188,3467636778.031207
64,1159774510.5477283,3766757238.726276
65,1389096917.5921211,3422306919.9625454
66,1699193664.1247194,2705050611.23124
67,1794522923.0877037,2617228487.530052
68,2112847423.7336614,2079430924.7410889
69,2305248710.023579,1991724768.8303897
70,7886418.137766363,1257684980.8011143
71,15700322.100575926,1079971853.96733
72,7885969.931873245,1035971943.0810928
73,7886271.25938748,1035971938.7952814
74,7886569.469904194,1035971942.1890714
75,36411446.49621158,1040204514.825862
76,49953718.781996764,1087035395.2218099
77,53721175.58815812,1263346166.9034762
78,3550020778.245354,1545581251.357689
79,3707805693.289989,1868016904.0069084
80,2429529106.5881624,3777772772.5122876
81,1993853450.4764626,3644981051.394331
82,1451887094.2577326,3468160209.6855774
83,1098300040.6366475,3467662778.8838105
84,1121119348.5220838,3288245463.347527
85,887058435.6182063,3467380672.4750285
86,795873124.9529129,3467261870.2246494
87,786330901.3290337,3467251384.4334126
88,864413815.0096706,3766361319.513501
89,1019008928.9356247,3421798916.4118776
90,1279440870.7065876,2704452544.0370946
91,1347762408.7438874,2616589584.1109123
92,1685604288.8741112,2078788397.3655164
93,1900293509.5684838,1991114165.4645605
94,15700560.772865456,1257684992.2566032
95,7886308.455569636,1079971854.2715585
96,7886638.900287343,1035971944.959723
97,7885634.7631739685,1035971948.699387
98,15700198.42661949,1035971952.4009849
99,22792794.803701293,1038794723.0016067
100,41457564.58525576,1085621868.2197187
101,70944581.47310564,1264769127.7070184
102,3338510349.0171733,1545180938.541238
103,3339658479.9507732,1867382207.0725622
104,1931363127.536839,3776994855.36719
105,1276908754.218454,3643987466.1408386
106,945814886.6326218,3471259766.0537586
107,792687051.7762868,3480374071.543313
108,839852114.9201031,3304827304.8681393
109,596688093.2119015,3483037049.5282073
110,375259612.39440364,3476937129.2800198
111,395258189.7219557,3468518085.405832
112,547533891.0433335,3765969093.6549797
113,717055784.6365316,3421413099.5465736
114,906184467.0874157,2703980669.3273273
115,966686667.0908854,2616081206.962875
116,1213185382.6580124,2078135074.7119944
117,1286873063.7000751,1990254251.108213
118,7885549.397305207,1257684989.3347027
119,7885856.324521981,1079971861.5109556
120,15700695.621129986,1035971957.999383
121,7885519.942815159,1035971951.9849981
122,7885838.8864206225,1035971949.6436034
123,7886160.140381501,1035971956.3915292
124,22175743.91470061,1081381703.0667775
125,47828709.00776396,1264738915.1102042
126,2669923166.445371,1543445068.117412
127,2194703690.814037,1865443542.0820274
128,1088546039.765422,3775775092.310899
129,840592416.84583,3643389677.4830017
130,845419697.2204258,3467419394.0041614
131,847561603.665702,3467349646.6913543
132,960652304.2389781,3288060634.004264
133,822913338.3916403,3467322337.6966205
134,742430014.740011,3467217905.6868167
135,718349017.952663,3467185679.492865
136,856193333.6321859,3766368254.147156
137,1078927693.1327984,3421897613.779639
138,1344856670.8256433,2704563670.244418
139,1366207065.3703387,2616622116.872271
140,1556744743.0932708,2078631069.1835349
141,1579985327.4829535,1990702299.0739934
142,7886788.496183835,1257684999.382125
143,7885785.516440251,1079971862.138035
144,7886127.168663341,856545343.9602288
145,15701271.864723222,856545346.1270131
146,7885811.527027681,856545337.3285973
147,7886143.732579643,856545338.3884101
148,20952584.47833184,903365647.0915029
149,42887038.4440145,994192284.1719899
150,2681507133.0771427,1543423526.3292484
151,2101897650.3608847,1506493709.0312858
152,1189808000.1938787,2340561193.9774375
153,1001061431.3559808,2208239540.5297437
154,1062068307.0685174,2035508849.1320157
155,1024293184.6129941,2043307775.572054
156,990071721.358528,2047929201.2181334
157,893542184.7039641,2047644965.9747217
158,895661894.5931844,1143878868.052222
159,893623619.6156904,1136918047.6406772
160,1232770987.409465,1477436793.2196963
161,1754989074.1021914,1433371995.5083215
162,7893096.231152465,1252548175.042308
163,15715147.72679676,1164548349.5630748
164,15715226.078855041,1164548356.8142962
165,15728848.428783141,1076552153.7919922
166,7885546.212498473,988545078.2628509
167,15700083.210608698,900545257.624633
168,7883009.131085749,856543533.2414037
169,7882156.56154136,856543532.6964517
170,27962290.695955306,862176900.1564783
171,37802935.81181113,863591206.3972503
172,39933500.62246657,906191777.8431641
173,61083967.21903616,995615185.8354608
174,55195972.390360005,1170209502.8062701
175,56598817.628805235,1136583130.09438
